PRICE	WEIGHT	CITYMPG	HWYMPG	DISP	COMP	HP	TORQUE	AUTO	CYLIN	COUNTRY
14670	2685	25	31	1834	9.2	142	127	0	4	1
33800	3515	18	26	3206	8.6	200	210	0	6	1
70000	3010	19	24	2977	10.2	270	210	0	6	1
26350	3150	20	26	2451	9.0	176	170	0	5	1
34890	3413	17	24	2959	10.0	210	198	0	6	4
25000	2550	22	30	1962	9.0	120	117	0	4	4
27000	3185	20	26	2771	10.3	172	184	0	6	6
23200	3329	19	26	2771	10.3	172	184	0	6	6
59000	3991	14	20	4172	10.6	276	295	1	8	6
24675	3020	22	30	1796	10.0	138	129	0	4	4
38425	3600	17	25	2494	10.0	189	184	0	6	4
55950	3795	16	22	3982	10.0	282	295	1	8	4
15495	2976	24	34	2189	9.0	120	130	1	4	2
20860	3449	19	29	3792	8.5	170	225	1	6	2
26999	3637	19	28	3792	8.5	170	225	1	6	2
17999	3240	19	29	3135	9.5	160	185	1	6	2
28000	3800	16	25	3792	8.5	170	225	1	6	2
23999	4191	17	25	5733	10.5	260	330	1	8	2
13599	2791	23	31	2260	9.5	115	140	1	4	2
32990	3757	16	25	4893	9.5	200	275	1	8	2
37290	3774	16	25	4572	10.3	270	300	1	8	2
33990	4477	16	25	5710	9.7	260	335	1	8	2
40990	3830	16	25	4572	10.3	270	300	1	8	2
12415	2795	25	34	2189	9.0	120	130	0	4	2
18995	4036	18	26	4293	9.8	200	245	0	8	2
8845	2515	26	37	2189	9.0	120	140	1	4	2
13145	2665	25	31	2189	9.0	120	130	1	4	2
36185	3335	17	25	5733	10.5	300	340	0	8	2
16999	3122	21	28	2972	8.9	142	171	1	6	2
9120	2085	32	40	1468	9.2	92	93	0	4	1
20935	3064	18	24	2972	8.9	164	185	0	6	1
55000	3476	13	21	7990	9.1	400	480	0	10	2
9120	2085	32	40	1468	9.2	92	93	0	4	1
12979	2725	23	29	2834	9.5	113	116	0	4	1
118000	3235	13	19	3405	10.4	312	229	0	8	4
206000	3715	11	16	4943	10.0	421	360	0	12	4
16140	3104	20	29	2931	9.3	140	165	1	6	2
10735	2569	24	33	2307	9.0	96	126	0	4	2
